StateFIPS,State,Year,Number of people by Demographic,Race Ethnicity
32,Nevada,2019,"52,046",American Indian/Alaskan Native including Hispanic
32,Nevada,2019,"901,514",Hispanic All Races
32,Nevada,2019,"814,748",All Non-White Races including Hispanic
32,Nevada,2020,"2,280,227",White including Hispanic
32,Nevada,2020,"326,263",Black including Hispanic
32,Nevada,2020,"149,836",Other including Hispanic
32,Nevada,2020,"53,103",American Indian/Alaskan Native including Hispanic
32,Nevada,2020,"922,945",Hispanic All Races
32,Nevada,2020,"833,844",All Non-White Races including Hispanic
33,New Hampshire,2018,"1,263,057",White including Hispanic
33,New Hampshire,2018,"23,520",Black including Hispanic
33,New Hampshire,2018,"23,451",Other including Hispanic
33,New Hampshire,2018,"4,090",American Indian/Alaskan Native including Hispanic
33,New Hampshire,2018,"52,852",Hispanic All Races
33,New Hampshire,2018,"92,007",All Non-White Races including Hispanic
33,New Hampshire,2019,"1,266,033",White including Hispanic
33,New Hampshire,2019,"24,765",Black including Hispanic
33,New Hampshire,2019,"24,034",Other including Hispanic
33,New Hampshire,2019,"4,108",American Indian/Alaskan Native including Hispanic
33,New Hampshire,2019,"55,137",Hispanic All Races
33,New Hampshire,2019,"94,750",All Non-White Races including Hispanic
33,New Hampshire,2020,"1,280,372",White including Hispanic
33,New Hampshire,2020,"25,818",Black including Hispanic
33,New Hampshire,2020,"24,760",Other including Hispanic
33,New Hampshire,2020,"4,220",American Indian/Alaskan Native including Hispanic
33,New Hampshire,2020,"58,319",Hispanic All Races
33,New Hampshire,2020,"97,476",All Non-White Races including Hispanic
34,New Jersey,2018,"6,399,471",White including Hispanic
34,New Jersey,2018,"1,336,815",Black including Hispanic
34,New Jersey,2018,"199,569",Other including Hispanic
34,New Jersey,2018,"57,530",American Indian/Alaskan Native including Hispanic
34,New Jersey,2018,"1,817,704",Hispanic All Races
34,New Jersey,2018,"2,492,259",All Non-White Races including Hispanic
34,New Jersey,2019,"6,374,241",White including Hispanic
34,New Jersey,2019,"1,344,290",Black including Hispanic
34,New Jersey,2019,"203,452",Other including Hispanic
34,New Jersey,2019,"58,979",American Indian/Alaskan Native including Hispanic
34,New Jersey,2019,"1,846,291",Hispanic All Races
34,New Jersey,2019,"2,517,017",All Non-White Races including Hispanic
34,New Jersey,2020,"6,626,866",White including Hispanic
34,New Jersey,2020,"1,413,351",Black including Hispanic
34,New Jersey,2020,"215,748",Other including Hispanic
34,New Jersey,2020,"63,419",American Indian/Alaskan Native including Hispanic
34,New Jersey,2020,"1,967,330",Hispanic All Races
34,New Jersey,2020,"2,652,877",All Non-White Races including Hispanic
35,New Mexico,2018,"1,713,439",White including Hispanic
35,New Mexico,2018,"54,095",Black including Hispanic
35,New Mexico,2018,"54,103",Other including Hispanic
35,New Mexico,2018,"231,255",American Indian/Alaskan Native including Hispanic
35,New Mexico,2018,"1,032,594",Hispanic All Races
35,New Mexico,2018,"380,315",All Non-White Races including Hispanic
35,New Mexico,2019,"1,714,522",White including Hispanic
35,New Mexico,2019,"55,561",Black including Hispanic
35,New Mexico,2019,"55,458",Other including Hispanic
35,New Mexico,2019,"232,331",American Indian/Alaskan Native including Hispanic
35,New Mexico,2019,"1,039,266",Hispanic All Races
35,New Mexico,2019,"385,112",All Non-White Races including Hispanic
35,New Mexico,2020,"1,725,120",White including Hispanic
35,New Mexico,2020,"56,618",Black including Hispanic
35,New Mexico,2020,"56,766",Other including Hispanic
35,New Mexico,2020,"236,206",American Indian/Alaskan Native including Hispanic
35,New Mexico,2020,"1,055,437",Hispanic All Races
35,New Mexico,2020,"392,446",All Non-White Races including Hispanic
36,New York,2018,"13,614,664",White including Hispanic
36,New York,2018,"3,439,040",Black including Hispanic
36,New York,2018,"507,095",Other including Hispanic
36,New York,2018,"195,567",American Indian/Alaskan Native including Hispanic
36,New York,2018,"3,728,743",Hispanic All Races
36,New York,2018,"5,929,434",All Non-White Races including Hispanic
36,New York,2019,"13,522,668",White including Hispanic
36,New York,2019,"3,425,736",Black including Hispanic
36,New York,2019,"515,720",Other including Hispanic
36,New York,2019,"196,186",American Indian/Alaskan Native including Hispanic
36,New York,2019,"3,734,867",Hispanic All Races
36,New York,2019,"5,940,463",All Non-White Races including Hispanic
36,New York,2020,"13,966,445",White including Hispanic
36,New York,2020,"3,551,555",Black including Hispanic
36,New York,2020,"545,036",Other including Hispanic
36,New York,2020,"206,179",American Indian/Alaskan Native including Hispanic
36,New York,2020,"3,910,383",Hispanic All Races
36,New York,2020,"6,188,488",All Non-White Races including Hispanic
37,North Carolina,2018,"7,333,373",White including Hispanic
37,North Carolina,2018,"2,311,259",Black including Hispanic
37,North Carolina,2018,"240,117",Other including Hispanic
37,North Carolina,2018,"164,483",American Indian/Alaskan Native including Hispanic
37,North Carolina,2018,"992,905",Hispanic All Races
37,North Carolina,2018,"3,057,985",All Non-White Races including Hispanic
37,North Carolina,2019,"7,393,685",White including Hispanic
37,North Carolina,2019,"2,336,825",Black including Hispanic
37,North Carolina,2019,"248,871",Other including Hispanic
37,North Carolina,2019,"166,662",American Indian/Alaskan Native including Hispanic
37,North Carolina,2019,"1,023,296",Hispanic All Races
37,North Carolina,2019,"3,107,699",All Non-White Races including Hispanic
37,North Carolina,2020,"7,342,608",White including Hispanic
37,North Carolina,2020,"2,327,921",Black including Hispanic
37,North Carolina,2020,"256,425",Other including Hispanic
37,North Carolina,2020,"166,659",American Indian/Alaskan Native including Hispanic
37,North Carolina,2020,"1,046,203",Hispanic All Races
37,North Carolina,2020,"3,114,569",All Non-White Races including Hispanic
38,North Dakota,2018,"661,909",White including Hispanic
38,North Dakota,2018,"25,255",Black including Hispanic
38,North Dakota,2018,"16,728",Other including Hispanic
38,North Dakota,2018,"42,330",American Indian/Alaskan Native including Hispanic
38,North Dakota,2018,"30,317",Hispanic All Races
38,North Dakota,2018,"98,153",All Non-White Races including Hispanic
38,North Dakota,2019,"663,497",White including Hispanic
38,North Dakota,2019,"26,087",Black including Hispanic
38,North Dakota,2019,"17,630",Other including Hispanic
38,North Dakota,2019,"42,620",American Indian/Alaskan Native including Hispanic
38,North Dakota,2019,"31,939",Hispanic All Races
38,North Dakota,2019,"100,227",All Non-White Races including Hispanic
38,North Dakota,2020,"675,570",White including Hispanic
38,North Dakota,2020,"27,210",Black including Hispanic
38,North Dakota,2020,"18,310",Other including Hispanic
38,North Dakota,2020,"43,978",American Indian/Alaskan Native including Hispanic
38,North Dakota,2020,"34,136",Hispanic All Races
38,North Dakota,2020,"103,392",All Non-White Races including Hispanic
39,Ohio,2018,"9,557,587",White including Hispanic
39,Ohio,2018,"1,519,161",Black including Hispanic
39,Ohio,2018,"275,801",Other including Hispanic
39,Ohio,2018,"33,487",American Indian/Alaskan Native including Hispanic
39,Ohio,2018,"461,379",Hispanic All Races
39,Ohio,2018,"2,123,305",All Non-White Races including Hispanic
39,Ohio,2019,"9,543,019",White including Hispanic
39,Ohio,2019,"1,530,066",Black including Hispanic
39,Ohio,2019,"284,061",Other including Hispanic
39,Ohio,2019,"34,001",American Indian/Alaskan Native including Hispanic
39,Ohio,2019,"475,203",Hispanic All Races
39,Ohio,2019,"2,153,488",All Non-White Races including Hispanic
39,Ohio,2020,"9,593,738",White including Hispanic
39,Ohio,2020,"1,552,241",Black including Hispanic
39,Ohio,2020,"295,222",Other including Hispanic
39,Ohio,2020,"34,821",American Indian/Alaskan Native including Hispanic
39,Ohio,2020,"495,353",Hispanic All Races
39,Ohio,2020,"2,196,849",All Non-White Races including Hispanic
40,Oklahoma,2018,"2,914,041",White including Hispanic
40,Oklahoma,2018,"305,306",Black including Hispanic
40,Oklahoma,2018,"244,446",Other including Hispanic
40,Oklahoma,2018,"378,579",American Indian/Alaskan Native including Hispanic
40,Oklahoma,2018,"431,998",Hispanic All Races
40,Oklahoma,2018,"1,029,447",All Non-White Races including Hispanic
40,Oklahoma,2019,"2,918,808",White including Hispanic
40,Oklahoma,2019,"307,330",Black including Hispanic
40,Oklahoma,2019,"249,882",Other including Hispanic
40,Oklahoma,2019,"381,143",American Indian/Alaskan Native including Hispanic
40,Oklahoma,2019,"442,018",Hispanic All Races
40,Oklahoma,2019,"1,041,868",All Non-White Races including Hispanic
40,Oklahoma,2020,"2,907,220",White including Hispanic
40,Oklahoma,2020,"309,496",Black including Hispanic
40,Oklahoma,2020,"256,486",Other including Hispanic
40,Oklahoma,2020,"384,062",American Indian/Alaskan Native including Hispanic
40,Oklahoma,2020,"454,130",Hispanic All Races
40,Oklahoma,2020,"1,054,811",All Non-White Races including Hispanic
41,Oregon,2018,"3,630,853",White including Hispanic
41,Oregon,2018,"91,216",Black including Hispanic
41,Oregon,2018,"164,785",Other including Hispanic
41,Oregon,2018,"76,514",American Indian/Alaskan Native including Hispanic
41,Oregon,2018,"553,289",Hispanic All Races
41,Oregon,2018,"552,685",All Non-White Races including Hispanic
41,Oregon,2019,"3,650,867",White including Hispanic
41,Oregon,2019,"93,259",Black including Hispanic
41,Oregon,2019,"169,522",Other including Hispanic
41,Oregon,2019,"77,778",American Indian/Alaskan Native including Hispanic
41,Oregon,2019,"566,811",Hispanic All Races
41,Oregon,2019,"565,249",All Non-White Races including Hispanic
41,Oregon,2020,"3,663,912",White including Hispanic
41,Oregon,2020,"95,125",Black including Hispanic
41,Oregon,2020,"174,997",Other including Hispanic
41,Oregon,2020,"79,306",American Indian/Alaskan Native including Hispanic
41,Oregon,2020,"584,919",Hispanic All Races
41,Oregon,2020,"577,632",All Non-White Races including Hispanic
42,Pennsylvania,2018,"10,468,819",White including Hispanic
42,Pennsylvania,2018,"1,536,333",Black including Hispanic
42,Pennsylvania,2018,"268,832",Other including Hispanic
42,Pennsylvania,2018,"50,911",American Indian/Alaskan Native including Hispanic
42,Pennsylvania,2018,"980,162",Hispanic All Races
42,Pennsylvania,2018,"2,340,288",All Non-White Races including Hispanic
42,Pennsylvania,2019,"10,430,349",White including Hispanic
42,Pennsylvania,2019,"1,545,082",Black including Hispanic
42,Pennsylvania,2019,"276,338",Other including Hispanic
42,Pennsylvania,2019,"52,141",American Indian/Alaskan Native including Hispanic
42,Pennsylvania,2019,"1,005,387",Hispanic All Races
42,Pennsylvania,2019,"2,368,534",All Non-White Races including Hispanic
42,Pennsylvania,2020,"10,552,324",White including Hispanic
42,Pennsylvania,2020,"1,580,489",Black including Hispanic
42,Pennsylvania,2020,"288,433",Other including Hispanic
42,Pennsylvania,2020,"54,440",American Indian/Alaskan Native including Hispanic
42,Pennsylvania,2020,"1,055,549",Hispanic All Races
42,Pennsylvania,2020,"2,437,301",All Non-White Races including Hispanic
44,Rhode Island,2018,"887,380",White including Hispanic
44,Rhode Island,2018,"89,062",Black including Hispanic
44,Rhode Island,2018,"30,058",Other including Hispanic
44,Rhode Island,2018,"11,713",American Indian/Alaskan Native including Hispanic
44,Rhode Island,2018,"168,910",Hispanic All Races
44,Rhode Island,2018,"171,958",All Non-White Races including Hispanic
44,Rhode Island,2019,"883,779",White including Hispanic
44,Rhode Island,2019,"90,630",Black including Hispanic
44,Rhode Island,2019,"30,739",Other including Hispanic
44,Rhode Island,2019,"11,899",American Indian/Alaskan Native including Hispanic
44,Rhode Island,2019,"172,793",Hispanic All Races
44,Rhode Island,2019,"174,379",All Non-White Races including Hispanic
44,Rhode Island,2020,"912,979",White including Hispanic
44,Rhode Island,2020,"95,510",Black including Hispanic
44,Rhode Island,2020,"32,381",Other including Hispanic
44,Rhode Island,2020,"12,577",American Indian/Alaskan Native including Hispanic
44,Rhode Island,2020,"183,896",Hispanic All Races
44,Rhode Island,2020,"183,250",All Non-White Races including Hispanic
45,South Carolina,2018,"3,487,431",White including Hispanic
45,South Carolina,2018,"1,381,937",Black including Hispanic
45,South Carolina,2018,"98,970",Other including Hispanic
45,South Carolina,2018,"27,894",American Indian/Alaskan Native including Hispanic
45,South Carolina,2018,"296,779",Hispanic All Races
45,South Carolina,2018,"1,604,271",All Non-White Races including Hispanic
45,South Carolina,2019,"3,534,740",White including Hispanic
45,South Carolina,2019,"1,391,272",Black including Hispanic
45,South Carolina,2019,"102,979",Other including Hispanic
45,South Carolina,2019,"28,540",American Indian/Alaskan Native including Hispanic
45,South Carolina,2019,"309,289",Hispanic All Races
45,South Carolina,2019,"1,622,962",All Non-White Races including Hispanic
45,South Carolina,2020,"3,515,485",White including Hispanic
45,South Carolina,2020,"1,377,478",Black including Hispanic
45,South Carolina,2020,"106,410",Other including Hispanic
45,South Carolina,2020,"29,038",American Indian/Alaskan Native including Hispanic
45,South Carolina,2020,"317,150",Hispanic All Races
45,South Carolina,2020,"1,615,244",All Non-White Races including Hispanic
46,South Dakota,2018,"743,603",White including Hispanic
46,South Dakota,2018,"19,793",Black including Hispanic
46,South Dakota,2018,"21,158",Other including Hispanic
46,South Dakota,2018,"80,341",American Indian/Alaskan Native including Hispanic
46,South Dakota,2018,"36,998",Hispanic All Races
46,South Dakota,2018,"135,783",All Non-White Races including Hispanic
46,South Dakota,2019,"748,965",White including Hispanic
46,South Dakota,2019,"20,732",Black including Hispanic
46,South Dakota,2019,"21,894",Other including Hispanic
46,South Dakota,2019,"80,309",American Indian/Alaskan Native including Hispanic
46,South Dakota,2019,"38,388",Hispanic All Races
46,South Dakota,2019,"138,162",All Non-White Races including Hispanic
46,South Dakota,2020,"747,285",White including Hispanic
46,South Dakota,2020,"21,356",Black including Hispanic
46,South Dakota,2020,"22,543",Other including Hispanic
46,South Dakota,2020,"80,303",American Indian/Alaskan Native including Hispanic
46,South Dakota,2020,"39,688",Hispanic All Races
46,South Dakota,2020,"139,814",All Non-White Races including Hispanic
47,Tennessee,2018,"5,317,403",White including Hispanic
47,Tennessee,2018,"1,157,504",Black including Hispanic
47,Tennessee,2018,"133,326",Other including Hispanic
47,Tennessee,2018,"32,260",American Indian/Alaskan Native including Hispanic
47,Tennessee,2018,"378,723",Hispanic All Races
47,Tennessee,2018,"1,460,777",All Non-White Races including Hispanic
47,Tennessee,2019,"5,352,821",White including Hispanic
47,Tennessee,2019,"1,165,222",Black including Hispanic
47,Tennessee,2019,"138,440",Other including Hispanic
47,Tennessee,2019,"33,053",American Indian/Alaskan Native including Hispanic
47,Tennessee,2019,"391,469",Hispanic All Races
47,Tennessee,2019,"1,477,504",All Non-White Races including Hispanic
47,Tennessee,2020,"5,416,313",White including Hispanic
47,Tennessee,2020,"1,180,247",Black including Hispanic
47,Tennessee,2020,"144,494",Other including Hispanic
47,Tennessee,2020,"34,156",American Indian/Alaskan Native including Hispanic
47,Tennessee,2020,"409,863",Hispanic All Races
47,Tennessee,2020,"1,503,806",All Non-White Races including Hispanic
48,Texas,2018,"22,535,906",White including Hispanic
48,Texas,2018,"3,689,734",Black including Hispanic
48,Texas,2018,"577,433",Other including Hispanic
48,Texas,2018,"292,656",American Indian/Alaskan Native including Hispanic
48,Texas,2018,"11,289,269",Hispanic All Races
48,Texas,2018,"6,088,658",All Non-White Races including Hispanic
48,Texas,2019,"22,745,521",White including Hispanic
48,Texas,2019,"3,764,432",Black including Hispanic
48,Texas,2019,"598,375",Other including Hispanic
48,Texas,2019,"299,674",American Indian/Alaskan Native including Hispanic
48,Texas,2019,"11,491,337",Hispanic All Races
48,Texas,2019,"6,241,273",All Non-White Races including Hispanic
48,Texas,2020,"22,848,497",White including Hispanic
48,Texas,2020,"3,823,491",Black including Hispanic
48,Texas,2020,"620,754",Other including Hispanic
48,Texas,2020,"307,117",American Indian/Alaskan Native including Hispanic
48,Texas,2020,"11,683,452",Hispanic All Races
48,Texas,2020,"6,369,156",All Non-White Races including Hispanic
49,Utah,2018,"2,863,742",White including Hispanic
49,Utah,2018,"45,045",Black including Hispanic
49,Utah,2018,"81,475",Other including Hispanic
49,Utah,2018,"48,315",American Indian/Alaskan Native including Hispanic
49,Utah,2018,"447,226",Hispanic All Races
49,Utah,2018,"291,411",All Non-White Races including Hispanic
49,Utah,2019,"2,902,040",White including Hispanic
49,Utah,2019,"46,918",Black including Hispanic
49,Utah,2019,"84,860",Other including Hispanic
49,Utah,2019,"49,467",American Indian/Alaskan Native including Hispanic
49,Utah,2019,"459,119",Hispanic All Races
49,Utah,2019,"301,343",All Non-White Races including Hispanic
49,Utah,2020,"2,967,512",White including Hispanic
49,Utah,2020,"49,028",Black including Hispanic
49,Utah,2020,"89,313",Other including Hispanic
49,Utah,2020,"51,365",American Indian/Alaskan Native including Hispanic
49,Utah,2020,"479,105",Hispanic All Races
49,Utah,2020,"314,172",All Non-White Races including Hispanic
50,Vermont,2018,"589,442",White including Hispanic
50,Vermont,2018,"8,404",Black including Hispanic
50,Vermont,2018,"12,137",Other including Hispanic
50,Vermont,2018,"2,427",American Indian/Alaskan Native including Hispanic
50,Vermont,2018,"12,559",Hispanic All Races
50,Vermont,2018,"35,360",All Non-White Races including Hispanic
50,Vermont,2019,"587,879",White including Hispanic
50,Vermont,2019,"8,727",Black including Hispanic
50,Vermont,2019,"12,457",Other including Hispanic
50,Vermont,2019,"2,425",American Indian/Alaskan Native including Hispanic
50,Vermont,2019,"12,918",Hispanic All Races
50,Vermont,2019,"36,167",All Non-White Races including Hispanic
50,Vermont,2020,"604,813",White including Hispanic
50,Vermont,2020,"9,175",Black including Hispanic
50,Vermont,2020,"12,949",Other including Hispanic
50,Vermont,2020,"2,476",American Indian/Alaskan Native including Hispanic
50,Vermont,2020,"13,781",Hispanic All Races
50,Vermont,2020,"37,682",All Non-White Races including Hispanic
51,Virginia,2018,"5,913,267",White including Hispanic
51,Virginia,2018,"1,691,415",Black including Hispanic
51,Virginia,2018,"264,794",Other including Hispanic
51,Virginia,2018,"46,393",American Indian/Alaskan Native including Hispanic
51,Virginia,2018,"812,901",Hispanic All Races
51,Virginia,2018,"2,597,653",All Non-White Races including Hispanic
51,Virginia,2019,"5,923,605",White including Hispanic
51,Virginia,2019,"1,703,577",Black including Hispanic
51,Virginia,2019,"272,950",Other including Hispanic
51,Virginia,2019,"47,235",American Indian/Alaskan Native including Hispanic
51,Virginia,2019,"835,102",Hispanic All Races
51,Virginia,2019,"2,633,037",All Non-White Races including Hispanic
51,Virginia,2020,"5,955,284",White including Hispanic
51,Virginia,2020,"1,723,425",Black including Hispanic
51,Virginia,2020,"282,076",Other including Hispanic
51,Virginia,2020,"48,265",American Indian/Alaskan Native including Hispanic
51,Virginia,2020,"864,071",Hispanic All Races
51,Virginia,2020,"2,676,760",All Non-White Races including Hispanic
53,Washington,2018,"5,929,223",White including Hispanic
53,Washington,2018,"322,071",Black including Hispanic
53,Washington,2018,"368,905",Other including Hispanic
53,Washington,2018,"146,290",American Indian/Alaskan Native including Hispanic
53,Washington,2018,"971,214",Hispanic All Races
53,Washington,2018,"1,597,570",All Non-White Races including Hispanic
53,Washington,2019,"5,964,226",White including Hispanic
53,Washington,2019,"331,509",Black including Hispanic
53,Washington,2019,"380,523",Other including Hispanic
53,Washington,2019,"148,178",American Indian/Alaskan Native including Hispanic
53,Washington,2019,"1,001,089",Hispanic All Races
53,Washington,2019,"1,649,798",All Non-White Races including Hispanic
53,Washington,2020,"6,011,340",White including Hispanic
53,Washington,2020,"342,592",Black including Hispanic
53,Washington,2020,"394,667",Other including Hispanic
53,Washington,2020,"151,735",American Indian/Alaskan Native including Hispanic
53,Washington,2020,"1,038,861",Hispanic All Races
53,Washington,2020,"1,707,445",All Non-White Races including Hispanic
54,West Virginia,2018,"1,688,805",White including Hispanic
54,West Virginia,2018,"64,605",Black including Hispanic
54,West Virginia,2018,"32,383",Other including Hispanic
54,West Virginia,2018,"4,478",American Indian/Alaskan Native including Hispanic
54,West Virginia,2018,"30,081",Hispanic All Races
54,West Virginia,2018,"117,148",All Non-White Races including Hispanic
54,West Virginia,2019,"1,677,154",White including Hispanic
54,West Virginia,2019,"64,688",Black including Hispanic
54,West Virginia,2019,"32,999",Other including Hispanic
54,West Virginia,2019,"4,559",American Indian/Alaskan Native including Hispanic
54,West Virginia,2019,"31,152",Hispanic All Races
54,West Virginia,2019,"118,109",All Non-White Races including Hispanic
54,West Virginia,2020,"1,669,451",White including Hispanic
54,West Virginia,2020,"65,710",Black including Hispanic
54,West Virginia,2020,"34,132",Other including Hispanic
54,West Virginia,2020,"4,610",American Indian/Alaskan Native including Hispanic
54,West Virginia,2020,"32,283",Hispanic All Races
54,West Virginia,2020,"120,347",All Non-White Races including Hispanic
55,Wisconsin,2018,"5,053,351",White including Hispanic
55,Wisconsin,2018,"390,792",Black including Hispanic
55,Wisconsin,2018,"117,927",Other including Hispanic
55,Wisconsin,2018,"68,350",American Indian/Alaskan Native including Hispanic
55,Wisconsin,2018,"410,486",Hispanic All Races
55,Wisconsin,2018,"755,968",All Non-White Races including Hispanic
55,Wisconsin,2019,"5,058,070",White including Hispanic
55,Wisconsin,2019,"392,565",Black including Hispanic
55,Wisconsin,2019,"121,399",Other including Hispanic
55,Wisconsin,2019,"69,265",American Indian/Alaskan Native including Hispanic
55,Wisconsin,2019,"418,289",Hispanic All Races
55,Wisconsin,2019,"766,511",All Non-White Races including Hispanic
55,Wisconsin,2020,"5,109,616",White including Hispanic
55,Wisconsin,2020,"398,233",Black including Hispanic
55,Wisconsin,2020,"125,327",Other including Hispanic
55,Wisconsin,2020,"71,011",American Indian/Alaskan Native including Hispanic
55,Wisconsin,2020,"434,149",Hispanic All Races
55,Wisconsin,2020,"782,707",All Non-White Races including Hispanic
56,Wyoming,2018,"536,202",White including Hispanic
56,Wyoming,2018,"7,133",Black including Hispanic
56,Wyoming,2018,"12,388",Other including Hispanic
56,Wyoming,2018,"16,285",American Indian/Alaskan Native including Hispanic
56,Wyoming,2018,"58,741",Hispanic All Races
56,Wyoming,2018,"42,852",All Non-White Races including Hispanic
56,Wyoming,2019,"536,852",White including Hispanic
56,Wyoming,2019,"7,114",Black including Hispanic
56,Wyoming,2019,"12,869",Other including Hispanic
56,Wyoming,2019,"16,262",American Indian/Alaskan Native including Hispanic
56,Wyoming,2019,"59,515",Hispanic All Races
56,Wyoming,2019,"43,264",All Non-White Races including Hispanic
56,Wyoming,2020,"533,556",White including Hispanic
56,Wyoming,2020,"7,070",Black including Hispanic
56,Wyoming,2020,"13,286",Other including Hispanic
56,Wyoming,2020,"16,426",American Indian/Alaskan Native including Hispanic
56,Wyoming,2020,"60,161",Hispanic All Races
56,Wyoming,2020,"43,711",All Non-White Races including Hispanic
